=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-19 00:00 ~ 2026-09-19 23:59
导出时间: 2026-09-19 20:26:01

=== 当前配置 ===
靠近阈值: -67 dBm
离开阈值: -79 dBm
滞回区间: 12 dB
扫描间隔: 1100 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-19 ===
13:31:52.565 | RSSI | raw=-61 smooth=-59.4 near=-67 far=-79 consec=19 nearOk=Y farOk=N
13:31:53.272 | RSSI | raw=-68 smooth=-66.3 near=-67 far=-79 consec=20 nearOk=Y farOk=N
13:31:53.979 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:54.685 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:55.403 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:56.110 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:56.817 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:57.522 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:58.229 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:58.934 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:59.642 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:00.350 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:01.058 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:01.764 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:02.478 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:03.186 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:03.894 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:04.603 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:05.310 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:06.020 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:06.730 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:07.437 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:08.145 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:08.852 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:09.568 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:10.274 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:10.981 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:11.689 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:12.397 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:13.106 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:13.814 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:14.522 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:15.229 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:15.939 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:16.650 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:17.357 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:18.071 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:18.779 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:19.486 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:20.193 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:20.901 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:21.614 | RSSI | raw=-74 smooth=-72.5 near=-67 far=-79 consec=0 nearOk=N farOk=N
13:32:22.324 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:23.033 | RSSI | raw=-69 smooth=-69.7 near=-67 far=-79 consec=0 nearOk=N farOk=N
13:32:23.749 | RSSI | raw=-56 smooth=-58.7 near=-67 far=-79 consec=1 nearOk=Y farOk=N
13:32:24.457 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:25.164 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:25.874 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:26.580 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:27.287 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:27.995 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:28.702 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:29.411 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:30.118 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:30.832 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:31.540 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:32.247 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:32.953 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:33.661 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:34.366 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:35.073 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:35.780 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:36.486 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:37.194 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:37.905 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:38.615 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:39.321 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:40.027 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:40.734 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:32:41.449 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
