=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-14 00:00 ~ 2026-09-16 20:44
导出时间: 2026-09-16 20:44:20

=== 当前配置 ===
靠近阈值: -67 dBm
离开阈值: -79 dBm
滞回区间: 12 dB
扫描间隔: 800 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-15 ===
01:52:45.670 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:46.474 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:47.278 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:48.082 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:48.896 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:49.700 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:50.503 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:51.308 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:52.111 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:52.915 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:53.718 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:54.521 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:55.326 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:56.130 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:56.942 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:57.746 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:58.549 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:59.352 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:00.156 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:00.959 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:01.762 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:02.565 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:03.371 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:04.173 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:04.984 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:05.786 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:06.588 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:07.391 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:08.193 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:08.996 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:09.799 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:10.603 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:11.406 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:12.209 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:13.016 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:13.818 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:14.623 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:15.427 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:16.230 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:17.032 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:17.835 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:18.640 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:19.442 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:20.246 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:21.065 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:21.869 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:22.672 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:23.476 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:24.278 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:25.083 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:25.886 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:26.690 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:27.509 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:28.314 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:29.124 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:29.928 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:30.734 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:31.540 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:32.342 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:33.150 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:33.954 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:34.757 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:35.562 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:36.364 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:37.178 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:37.983 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:38.788 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:39.593 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:40.398 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:41.202 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:42.005 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:42.809 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:43.613 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:44.416 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:45.230 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:46.033 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:46.839 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:47.645 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:48.450 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:49.254 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:50.062 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:50.866 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:51.672 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:52.477 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:53.287 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:54.090 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:54.893 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:55.698 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:56.502 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:57.306 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:58.110 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:58.917 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:53:59.723 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:00.530 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:01.340 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:02.143 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:02.946 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:03.752 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:04.556 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:05.361 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:06.166 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:06.972 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:07.775 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:08.580 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:09.388 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:10.192 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:10.996 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:11.803 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:12.606 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:13.412 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:14.217 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:15.022 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:15.825 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:16.630 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:17.447 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:18.252 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:19.058 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:19.863 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:20.669 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:21.475 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:22.282 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:23.089 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:23.894 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:24.700 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:25.517 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:26.323 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:27.128 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:27.936 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:28.744 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:29.551 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:30.354 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:31.158 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:31.960 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:32.763 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:33.570 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:34.372 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:35.176 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:35.984 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:36.789 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:37.592 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:38.397 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:39.201 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:40.003 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:40.805 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:41.613 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:42.415 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:43.217 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:44.019 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:44.824 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:45.627 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:46.430 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:47.234 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:48.038 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:48.842 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:49.657 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:50.460 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:51.262 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:52.066 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:52.873 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:53.677 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:54.480 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:55.285 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:56.090 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:56.894 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:57.705 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:58.509 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:54:59.313 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:00.117 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:14.213 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:15.016 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:15.823 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:16.631 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:17.443 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:18.251 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:19.058 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:19.866 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:20.675 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:21.489 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:22.296 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:23.108 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:23.919 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:24.724 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:25.532 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:26.338 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:27.147 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:27.950 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:28.756 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:29.564 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:30.366 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:31.170 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:31.973 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:32.777 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:33.580 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:34.384 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:35.191 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:36.001 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:36.809 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:37.624 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:38.431 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:39.235 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:40.043 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:40.856 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:41.662 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:42.468 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:43.276 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:44.084 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:44.888 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:45.702 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:46.504 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:47.308 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:48.115 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:48.916 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:49.718 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:50.526 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:51.332 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:52.140 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:52.944 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:53.749 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:54.555 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:55.360 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:55:56.165 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:56:09.516 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:56:10.319 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:56:11.123 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
